,Employed total ;  Persons ;,Employed total ;  Persons ;,Employed total ;  Persons ;,Employed total ;  > Males ;,Employed total ;  > Males ;,Employed total ;  > Males ;,Employed total ;  > Females ;,Employed total ;  > Females ;,Employed total ;  > Females ;,> Employed full-time ;  Persons ;,> Employed full-time ;  Persons ;,> Employed full-time ;  Persons ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Females ;,> Employed full-time ;  > Females ;,> Employed full-time ;  > Females ;,> Employed part-time ;  Persons ;,> Employed part-time ;  > Males ;,> Employed part-time ;  > Females ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Females ;,Employment to population ratio ;  > Females ;,Employment to population ratio ;  > Females ;,Unemployed total ;  Persons ;,Unemployed total ;  Persons ;,Unemployed total ;  Persons ;,Unemployed total ;  > Males ;,Unemployed total ;  > Males ;,Unemployed total ;  > Males ;,Unemployed total ;  > Females ;,Unemployed total ;  > Females ;,Unemployed total ;  > Females ;,> Unemployed looked for full-time work ;  Persons ;,> Unemployed looked for full-time work ;  > Males ;,> Unemployed looked for full-time work ;  > Females ;,> Unemployed looked for only part-time work ;  Persons ;,> Unemployed looked for only part-time work ;  > Males ;,> Unemployed looked for only part-time work ;  > Females ;,Unemployment rate ;  Persons ;,Unemployment rate ;  Persons ;,Unemployment rate ;  Persons ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Females ;,Unemployment rate ;  > Females ;,Unemployment rate ;  > Females ;,> Unemployment rate looked for full-time work ;  Persons ;,> Unemployment rate looked for full-time work ;  > Males ;,> Unemployment rate looked for full-time work ;  > Females ;,> Unemployment rate looked for only part-time work ;  Persons ;,> Unemployment rate looked for only part-time work ;  > Males ;,> Unemployment rate looked for only part-time work ;  > Females ;,Labour force total ;  Persons ;,Labour force total ;  Persons ;,Labour force total ;  Persons ;,Labour force total ;  > Males ;,Labour force total ;  > Males ;,Labour force total ;  > Males ;,Labour force total ;  > Females ;,Labour force total ;  > Females ;,Labour force total ;  > Females ;,Participation rate ;  Persons ;,Participation rate ;  Persons ;,Participation rate ;  Persons ;,Participation rate ;  > Males ;,Participation rate ;  > Males ;,Participation rate ;  > Males ;,Participation rate ;  > Females ;,Participation rate ;  > Females ;,Participation rate ;  > Females ;,Not in the labour force (NILF) ;  Persons ;,Not in the labour force (NILF) ;  > Males ;,Not in the labour force (NILF) ;  > Females ;,Civilian population aged 15 years and over ;  Persons ;,Civilian population aged 15 years and over ;  > Males ;,Civilian population aged 15 years and over ;  > Females ;
Jan-1998,,2099.4,2070.9,,1181.7,1175.9,,917.7,895.0,,1557.0,1559.1,,1044.2,1043.7,,512.9,515.4,511.8,132.2,379.6,,57.7,56.9,,66.6,66.3,,49.2,48.0,,189.2,198.4,,107.0,113.0,,82.2,85.4,157.0,96.7,60.3,41.4,16.4,25.1,,8.3,8.7,,8.3,8.8,,8.2,8.7,9.1,8.5,10.5,7.5,11.0,6.2,,2288.6,2269.3,,1288.7,1288.9,,999.9,980.3,,62.9,62.3,,72.6,72.6,,53.6,52.6,1370.4,485.7,884.7,3639.7,1774.6,1865.1
Feb-1998,,2116.7,2109.8,,1193.2,1194.6,,923.5,915.2,,1568.6,1580.8,,1046.7,1055.8,,521.8,525.0,529.0,138.7,390.3,,58.1,57.9,,67.1,67.2,,49.5,49.0,,175.4,195.1,,100.7,108.8,,74.7,86.2,154.7,92.7,62.0,40.4,16.1,24.3,,7.7,8.5,,7.8,8.3,,7.5,8.6,8.9,8.1,10.6,7.1,10.4,5.9,,2292.1,2304.9,,1293.9,1303.4,,998.2,1001.5,,62.9,63.2,,72.8,73.3,,53.4,53.6,1339.7,473.6,866.1,3644.5,1777.0,1867.5
Mar-1998,,2113.9,2120.8,,1192.2,1196.2,,921.7,924.5,,1570.5,1566.9,,1050.6,1048.7,,519.8,518.2,553.9,147.5,406.3,,57.9,58.1,,67.0,67.2,,49.3,49.4,,189.5,197.8,,107.8,109.9,,81.7,87.9,153.1,92.8,60.3,44.7,17.1,27.6,,8.2,8.5,,8.3,8.4,,8.1,8.7,8.9,8.1,10.4,7.5,10.4,6.4,,2303.4,2318.6,,1300.0,1306.1,,1003.4,1012.5,,63.1,63.5,,73.1,73.4,,53.7,54.1,1330.8,473.3,857.5,3649.4,1779.4,1870.0
Apr-1998,,2127.3,2130.9,,1198.6,1200.9,,928.7,930.0,,1576.2,1573.6,,1050.4,1050.3,,525.8,523.3,557.3,150.7,406.7,,58.3,58.4,,67.3,67.5,,49.6,49.7,,186.4,186.6,,103.8,103.8,,82.6,82.8,145.2,88.6,56.6,41.4,15.2,26.1,,8.1,8.1,,8.0,8.0,,8.2,8.2,8.4,7.8,9.8,6.9,9.2,6.0,,2313.6,2317.5,,1302.4,1304.8,,1011.2,1012.7,,63.4,63.5,,73.2,73.3,,54.0,54.1,1333.9,475.6,858.4,3651.4,1780.3,1871.1
May-1998,,2126.1,2127.1,,1202.3,1203.0,,923.8,924.2,,1567.8,1560.6,,1047.3,1047.8,,520.5,512.8,566.6,155.2,411.4,,58.2,58.2,,67.5,67.5,,49.3,49.4,,183.3,183.5,,106.5,106.9,,76.8,76.6,148.6,93.3,55.2,34.9,13.5,21.4,,7.9,7.9,,8.1,8.2,,7.7,7.7,8.7,8.2,9.7,5.8,8.0,4.9,,2309.4,2310.7,,1308.8,1309.8,,1000.6,1000.8,,63.2,63.2,,73.5,73.5,,53.4,53.5,1342.8,471.4,871.4,3653.4,1781.3,1872.2
Jun-1998,,2132.9,2135.6,,1198.8,1199.9,,934.1,935.8,,1565.4,1554.3,,1044.2,1040.7,,521.3,513.7,581.3,159.2,422.1,,58.3,58.4,,67.3,67.3,,49.9,50.0,,184.1,177.2,,104.9,101.7,,79.2,75.6,141.3,91.1,50.2,35.9,10.5,25.4,,7.9,7.7,,8.0,7.8,,7.8,7.5,8.3,8.1,8.9,5.8,6.2,5.7,,2317.0,2312.9,,1303.8,1301.5,,1013.3,1011.3,,63.4,63.3,,73.2,73.0,,54.1,54.0,1342.6,480.6,861.9,3655.4,1782.2,1873.2
Jul-1998,,2130.4,2134.3,,1197.6,1198.9,,932.8,935.5,,1564.2,1572.9,,1045.4,1045.9,,518.8,527.0,561.4,152.9,408.5,,58.2,58.3,,67.1,67.2,,49.7,49.9,,183.5,171.9,,106.0,98.5,,77.5,73.4,138.3,87.6,50.8,33.6,10.9,22.7,,7.9,7.5,,8.1,7.6,,7.7,7.3,8.1,7.7,8.8,5.6,6.7,5.3,,2313.9,2306.2,,1303.6,1297.3,,1010.3,1008.9,,63.2,63.0,,73.1,72.7,,53.9,53.8,1352.4,486.3,866.1,3658.7,1783.6,1875.0
Aug-1998,,2152.4,2133.4,,1200.0,1188.3,,952.4,945.1,,1588.2,1564.8,,1049.9,1037.4,,538.3,527.4,568.6,151.0,417.6,,58.8,58.3,,67.2,66.6,,50.7,50.4,,180.8,175.9,,102.4,101.4,,78.4,74.5,135.1,86.0,49.1,40.8,15.4,25.4,,7.7,7.6,,7.9,7.9,,7.6,7.3,7.9,7.7,8.5,6.7,9.3,5.7,,2333.2,2309.3,,1302.4,1289.7,,1030.8,1019.5,,63.7,63.1,,73.0,72.2,,54.9,54.3,1352.7,495.4,857.3,3662.0,1785.1,1876.8
Sep-1998,,2154.1,2169.2,,1214.5,1216.0,,939.6,953.3,,1582.3,1585.5,,1058.6,1058.4,,523.6,527.1,583.7,157.6,426.1,,58.8,59.2,,68.0,68.1,,50.0,50.7,,177.5,183.6,,98.5,101.7,,79.0,81.9,140.1,85.0,55.1,43.5,16.7,26.8,,7.6,7.8,,7.5,7.7,,7.8,7.9,8.1,7.4,9.5,6.9,9.6,5.9,,2331.6,2352.9,,1313.0,1317.7,,1018.6,1035.2,,63.6,64.2,,73.5,73.8,,54.2,55.1,1312.4,468.9,843.5,3665.2,1786.6,1878.6
Oct-1998,,2133.7,2134.3,,1196.9,1196.4,,936.8,938.0,,1574.2,1573.4,,1046.0,1044.6,,528.2,528.7,561.0,151.7,409.2,,58.2,58.2,,66.9,66.9,,49.8,49.9,,173.0,164.4,,99.4,95.4,,73.5,69.0,125.2,79.8,45.5,39.1,15.6,23.5,,7.5,7.2,,7.7,7.4,,7.3,6.9,7.4,7.1,7.9,6.5,9.3,5.4,,2306.6,2298.7,,1296.3,1291.7,,1010.3,1007.0,,62.9,62.7,,72.5,72.2,,53.7,53.5,1370.3,496.5,873.8,3669.0,1788.2,1880.8
Nov-1998,,2134.4,2130.2,,1198.7,1194.9,,935.7,935.3,,1563.6,1558.8,,1038.9,1037.7,,524.8,521.1,571.4,157.2,414.2,,58.1,58.0,,67.0,66.8,,49.7,49.7,,181.2,168.3,,99.7,94.0,,81.4,74.3,130.4,81.4,48.9,37.9,12.6,25.4,,7.8,7.3,,7.7,7.3,,8.0,7.4,7.7,7.3,8.6,6.2,7.4,5.8,,2315.6,2298.5,,1298.5,1288.8,,1017.1,1009.6,,63.0,62.6,,72.5,72.0,,54.0,53.6,1374.4,501.0,873.3,3672.8,1789.9,1883.0
Dec-1998,,2138.1,2165.0,,1198.1,1213.5,,940.1,951.5,,1567.2,1596.4,,1038.1,1054.4,,529.2,542.0,568.7,159.1,409.6,,58.2,58.9,,66.9,67.7,,49.9,50.5,,162.8,163.0,,93.9,93.4,,69.0,69.7,123.9,77.6,46.2,39.2,15.7,23.4,,7.1,7.0,,7.3,7.1,,6.8,6.8,7.2,6.9,7.9,6.4,9.0,5.4,,2301.0,2328.1,,1291.9,1306.9,,1009.1,1021.2,,62.6,63.3,,72.1,73.0,,53.5,54.2,1348.6,484.6,864.0,3676.6,1791.5,1885.1
Jan-1999,,2137.9,2109.8,,1201.0,1194.6,,936.9,915.3,,1574.9,1576.9,,1041.7,1041.1,,533.2,535.8,532.9,153.5,379.4,,58.1,57.3,,66.9,66.6,,49.6,48.5,,164.2,172.0,,95.0,100.5,,69.3,71.5,137.0,85.7,51.2,35.0,14.7,20.3,,7.1,7.5,,7.3,7.8,,6.9,7.2,8.0,7.6,8.7,6.2,8.8,5.1,,2302.1,2281.8,,1296.0,1295.0,,1006.2,986.8,,62.5,62.0,,72.2,72.2,,53.3,52.3,1399.9,499.0,901.0,3681.8,1794.0,1887.7
Feb-1999,,2137.3,2130.9,,1202.2,1203.5,,935.2,927.4,,1578.0,1590.9,,1051.6,1061.3,,526.4,529.6,540.0,142.2,397.8,,58.0,57.8,,66.9,67.0,,49.5,49.1,,170.3,189.5,,98.6,106.4,,71.7,83.2,145.1,91.9,53.3,44.4,14.5,29.9,,7.4,8.2,,7.6,8.1,,7.1,8.2,8.4,8.0,9.1,7.6,9.3,7.0,,2307.7,2320.4,,1300.8,1309.9,,1006.9,1010.5,,62.6,62.9,,72.4,72.9,,53.3,53.5,1366.5,486.7,879.8,3686.9,1796.6,1890.3
Mar-1999,,2137.1,2144.5,,1205.8,1210.3,,931.3,934.2,,1584.0,1581.8,,1060.0,1058.1,,524.0,523.7,562.7,152.2,410.5,,57.9,58.1,,67.0,67.3,,49.2,49.4,,161.9,168.7,,92.6,94.2,,69.3,74.6,126.9,80.1,46.8,41.9,14.1,27.8,,7.0,7.3,,7.1,7.2,,6.9,7.4,7.4,7.0,8.2,6.9,8.5,6.3,,2299.0,2313.2,,1298.4,1304.4,,1000.6,1008.8,,62.3,62.7,,72.2,72.5,,52.9,53.3,1378.8,494.7,884.1,3692.0,1799.1,1892.9
Apr-1999,,2141.7,2144.7,,1205.8,1207.8,,935.9,936.9,,1569.4,1566.3,,1048.0,1047.0,,521.4,519.3,578.4,160.7,417.7,,58.0,58.1,,67.0,67.1,,49.4,49.5,,169.3,170.2,,101.5,102.2,,67.8,68.0,129.6,86.0,43.5,40.7,16.2,24.4,,7.3,7.4,,7.8,7.8,,6.8,6.8,7.6,7.6,7.7,6.6,9.2,5.5,,2311.0,2315.0,,1307.3,1310.0,,1003.8,1004.9,,62.6,62.7,,72.6,72.8,,53.0,53.1,1379.4,490.1,889.3,3694.3,1800.1,1894.2
May-1999,,2125.0,2126.5,,1194.2,1195.1,,930.8,931.4,,1562.7,1555.0,,1042.3,1043.1,,520.4,511.9,571.5,152.0,419.5,,57.5,57.5,,66.3,66.4,,49.1,49.1,,169.9,170.3,,102.8,103.2,,67.1,67.2,127.3,84.6,42.7,43.0,18.5,24.4,,7.4,7.4,,7.9,7.9,,6.7,6.7,7.6,7.5,7.7,7.0,10.9,5.5,,2294.9,2296.9,,1297.1,1298.3,,997.8,998.6,,62.1,62.1,,72.0,72.1,,52.6,52.7,1399.8,502.9,896.9,3696.7,1801.2,1895.5
Jun-1999,,2149.3,2152.3,,1215.6,1216.7,,933.6,935.6,,1574.1,1562.0,,1053.1,1049.4,,521.0,512.6,590.3,167.3,423.0,,58.1,58.2,,67.5,67.5,,49.2,49.3,,163.2,157.2,,95.3,92.4,,67.9,64.7,127.0,83.2,43.9,30.1,9.3,20.9,,7.1,6.8,,7.3,7.1,,6.8,6.5,7.5,7.3,7.9,4.9,5.3,4.7,,2312.4,2309.5,,1310.9,1309.1,,1001.6,1000.3,,62.5,62.4,,72.7,72.6,,52.8,52.7,1389.5,493.1,896.4,3699.0,1802.2,1896.8
Jul-1999,,2156.3,2159.4,,1211.8,1213.0,,944.5,946.4,,1579.0,1586.6,,1057.7,1058.2,,521.3,528.4,572.8,154.8,418.0,,58.2,58.3,,67.2,67.2,,49.7,49.8,,165.7,154.7,,94.5,87.2,,71.2,67.5,114.8,76.8,38.0,40.0,10.4,29.5,,7.1,6.7,,7.2,6.7,,7.0,6.7,6.7,6.8,6.7,6.5,6.3,6.6,,2322.0,2314.1,,1306.3,1300.2,,1015.7,1013.9,,62.7,62.5,,72.4,72.1,,53.5,53.4,1388.8,503.9,884.9,3702.9,1804.1,1898.8
Aug-1999,,2151.6,2130.6,,1210.0,1198.4,,941.6,932.3,,1592.6,1569.5,,1064.9,1052.5,,527.7,517.0,561.1,145.8,415.3,,58.0,57.5,,67.0,66.4,,49.5,49.0,,160.6,156.5,,92.4,91.4,,68.2,65.1,114.2,76.1,38.1,42.3,15.2,27.1,,6.9,6.8,,7.1,7.1,,6.8,6.5,6.8,6.7,6.9,7.0,9.5,6.1,,2312.2,2287.1,,1302.4,1289.7,,1009.8,997.4,,62.4,61.7,,72.1,71.4,,53.1,52.5,1419.6,516.2,903.4,3706.8,1805.9,1900.8
Sep-1999,,2154.3,2168.9,,1212.7,1214.0,,941.6,955.0,,1580.8,1582.7,,1059.0,1058.2,,521.8,524.5,586.2,155.7,430.5,,58.1,58.5,,67.1,67.2,,49.5,50.2,,161.6,167.7,,91.9,95.3,,69.7,72.5,123.9,79.5,44.4,43.9,15.8,28.1,,7.0,7.2,,7.0,7.3,,6.9,7.1,7.3,7.0,7.8,7.0,9.2,6.1,,2316.0,2336.7,,1304.6,1309.3,,1011.4,1027.4,,62.4,63.0,,72.2,72.4,,53.2,54.0,1373.9,498.6,875.4,3710.6,1807.8,1902.8
Oct-1999,,2161.7,2161.4,,1213.3,1212.8,,948.3,948.6,,1577.0,1576.4,,1055.4,1053.8,,521.6,522.6,585.0,159.0,426.0,,58.2,58.2,,67.1,67.0,,49.8,49.8,,151.0,143.8,,84.8,81.5,,66.2,62.3,108.1,67.7,40.5,35.6,13.8,21.8,,6.5,6.2,,6.5,6.3,,6.5,6.2,6.4,6.0,7.2,5.7,8.0,4.9,,2312.7,2305.2,,1298.1,1294.3,,1014.6,1010.9,,62.3,62.1,,71.7,71.5,,53.3,53.1,1409.1,515.1,894.0,3714.3,1809.4,1904.9
Nov-1999,,2156.4,2157.7,,1207.5,1205.5,,948.9,952.2,,1575.5,1570.5,,1050.6,1049.2,,524.9,521.3,587.2,156.3,430.9,,58.0,58.0,,66.7,66.6,,49.8,49.9,,152.8,141.1,,86.9,81.3,,65.8,59.8,106.8,69.4,37.3,34.3,11.9,22.4,,6.6,6.1,,6.7,6.3,,6.5,5.9,6.4,6.2,6.7,5.5,7.1,4.9,,2309.2,2298.8,,1294.5,1286.8,,1014.7,1012.0,,62.1,61.8,,71.5,71.1,,53.2,53.1,1419.2,524.1,895.1,3718.0,1810.9,1907.0
Dec-1999,,2179.9,2207.2,,1218.1,1233.8,,961.8,973.4,,1596.3,1626.4,,1057.2,1073.9,,539.1,552.4,580.8,159.8,421.0,,58.6,59.3,,67.2,68.1,,50.4,51.0,,153.8,154.2,,89.0,88.8,,64.8,65.4,111.5,70.8,40.7,42.6,18.0,24.7,,6.6,6.5,,6.8,6.7,,6.3,6.3,6.4,6.2,6.9,6.8,10.1,5.5,,2333.8,2361.3,,1307.1,1322.6,,1026.6,1038.8,,62.7,63.4,,72.1,73.0,,53.8,54.4,1360.3,489.9,870.4,3721.7,1812.5,1909.2
Jan-2000,,2155.4,2127.7,,1208.6,1201.4,,946.9,926.4,,1582.9,1584.8,,1049.8,1049.1,,533.1,535.7,542.9,152.3,390.7,,57.8,57.1,,66.6,66.2,,49.5,48.4,,156.8,163.5,,83.8,88.8,,73.0,74.7,118.0,75.9,42.0,45.5,12.9,32.6,,6.8,7.1,,6.5,6.9,,7.2,7.5,6.9,6.7,7.3,7.7,7.8,7.7,,2312.2,2291.2,,1292.4,1290.2,,1019.9,1001.1,,62.0,61.5,,71.2,71.1,,53.3,52.4,1436.4,525.3,911.1,3727.6,1815.5,1912.1
Feb-2000,,2172.5,2166.7,,1216.8,1218.1,,955.8,948.6,,1590.7,1604.3,,1058.8,1069.1,,531.9,535.2,562.4,149.0,413.4,,58.2,58.0,,66.9,67.0,,49.9,49.5,,153.8,171.6,,83.2,89.4,,70.6,82.2,120.5,71.4,49.1,51.1,18.0,33.1,,6.6,7.3,,6.4,6.8,,6.9,8.0,7.0,6.3,8.4,8.3,10.8,7.4,,2326.3,2338.3,,1299.9,1307.5,,1026.4,1030.8,,62.3,62.6,,71.5,71.9,,53.6,53.8,1395.2,511.0,884.2,3733.5,1818.5,1915.1
Mar-2000,,2181.2,2189.5,,1215.3,1220.2,,965.9,969.3,,1596.0,1595.3,,1056.9,1055.3,,539.1,540.0,594.2,164.9,429.3,,58.3,58.6,,66.7,67.0,,50.4,50.5,,154.7,161.4,,84.3,85.6,,70.3,75.8,114.3,68.1,46.2,47.1,17.5,29.6,,6.6,6.9,,6.5,6.6,,6.8,7.3,6.7,6.1,7.9,7.3,9.6,6.5,,2335.8,2350.9,,1299.6,1305.8,,1036.2,1045.1,,62.5,62.9,,71.3,71.7,,54.0,54.5,1388.6,515.7,872.9,3739.5,1821.5,1918.0
Apr-2000,,2190.6,2193.1,,1219.6,1221.6,,971.0,971.6,,1585.5,1582.1,,1052.7,1051.1,,532.9,530.9,611.1,170.4,440.6,,58.5,58.6,,66.9,67.0,,50.6,50.6,,147.7,149.2,,81.8,83.0,,65.9,66.2,109.0,66.1,42.9,40.2,16.9,23.3,,6.3,6.4,,6.3,6.4,,6.4,6.4,6.4,5.9,7.5,6.2,9.0,5.0,,2338.3,2342.3,,1301.4,1304.5,,1036.9,1037.8,,62.5,62.6,,71.4,71.6,,54.0,54.1,1400.1,518.3,881.8,3742.4,1822.8,1919.5
May-2000,,2192.7,2194.1,,1215.3,1216.0,,977.5,978.1,,1596.7,1588.3,,1055.6,1056.1,,541.1,532.2,605.8,159.9,445.9,,58.5,58.6,,66.6,66.7,,50.9,50.9,,155.9,156.8,,87.9,88.3,,68.0,68.5,118.6,72.6,46.0,38.2,15.8,22.4,,6.6,6.7,,6.7,6.8,,6.5,6.5,6.9,6.4,8.0,5.9,9.0,4.8,,2348.6,2351.0,,1303.2,1304.3,,1045.4,1046.6,,62.7,62.8,,71.4,71.5,,54.4,54.5,1394.3,519.9,874.4,3745.3,1824.2,1921.0
Jun-2000,,2210.6,2214.0,,1219.9,1220.8,,990.8,993.3,,1617.0,1602.9,,1058.9,1054.7,,558.1,548.2,611.2,166.1,445.0,,59.0,59.1,,66.8,66.9,,51.5,51.7,,144.4,139.1,,79.9,77.6,,64.5,61.5,105.2,63.3,41.9,34.0,14.4,19.6,,6.1,5.9,,6.1,6.0,,6.1,5.8,6.2,5.7,7.1,5.3,8.0,4.2,,2355.0,2353.1,,1299.7,1298.4,,1055.3,1054.7,,62.8,62.8,,71.2,71.1,,54.9,54.9,1395.0,527.2,867.8,3748.2,1825.6,1922.6
Jul-2000,,2237.7,2240.2,,1240.1,1241.5,,997.7,998.6,,1634.1,1641.0,,1078.3,1078.9,,555.8,562.1,599.2,162.7,436.6,,59.6,59.7,,67.8,67.9,,51.8,51.9,,141.1,131.7,,75.8,69.7,,65.3,61.9,98.6,59.2,39.4,33.0,10.6,22.5,,5.9,5.6,,5.8,5.3,,6.1,5.8,5.7,5.2,6.6,5.2,6.1,4.9,,2378.8,2371.8,,1315.9,1311.2,,1063.0,1060.6,,63.4,63.2,,72.0,71.7,,55.2,55.1,1380.7,516.4,864.3,3752.6,1827.7,1924.9
Aug-2000,,2232.4,2212.4,,1238.3,1226.3,,994.0,986.1,,1621.1,1598.1,,1071.5,1059.6,,549.6,538.5,614.3,166.8,447.5,,59.4,58.9,,67.7,67.0,,51.6,51.2,,140.7,136.9,,80.9,79.7,,59.8,57.1,102.4,63.3,39.1,34.5,16.4,18.1,,5.9,5.8,,6.1,6.1,,5.7,5.5,6.0,5.6,6.8,5.3,9.0,3.9,,2373.0,2349.3,,1319.3,1306.1,,1053.8,1043.2,,63.2,62.5,,72.1,71.4,,54.7,54.1,1407.7,523.7,884.0,3756.9,1829.8,1927.2
Sep-2000,,2233.4,2248.1,,1244.8,1246.3,,988.6,1001.8,,1635.5,1635.9,,1080.9,1079.6,,554.6,556.2,612.2,166.7,445.5,,59.4,59.8,,68.0,68.0,,51.2,51.9,,141.5,147.1,,78.2,81.2,,63.3,65.9,108.8,67.0,41.8,38.3,14.2,24.1,,6.0,6.1,,5.9,6.1,,6.0,6.2,6.2,5.8,7.0,5.9,7.8,5.1,,2374.9,2395.2,,1323.0,1327.5,,1051.9,1067.6,,63.1,63.7,,72.2,72.5,,54.5,55.3,1366.2,504.3,861.8,3761.3,1831.9,1929.5
Oct-2000,,2237.1,2236.5,,1249.9,1249.7,,987.2,986.8,,1642.9,1642.3,,1086.7,1085.1,,556.2,557.2,594.2,164.6,429.6,,59.4,59.4,,68.2,68.2,,51.1,51.1,,137.6,131.2,,78.3,75.3,,59.3,55.9,97.6,65.0,32.6,33.6,10.3,23.3,,5.8,5.5,,5.9,5.7,,5.7,5.4,5.6,5.7,5.5,5.4,5.9,5.1,,2374.8,2367.7,,1328.2,1325.0,,1046.5,1042.7,,63.1,62.9,,72.4,72.3,,54.2,54.0,1397.6,508.6,888.9,3765.3,1833.7,1931.6
Nov-2000,,2229.6,2230.4,,1253.4,1250.9,,976.2,979.5,,1637.3,1633.0,,1088.3,1086.7,,549.0,546.3,597.4,164.2,433.2,,59.2,59.2,,68.3,68.2,,50.5,50.7,,139.0,127.5,,81.9,76.0,,57.1,51.4,97.5,63.1,34.4,30.0,12.9,17.1,,5.9,5.4,,6.1,5.7,,5.5,5.0,5.6,5.5,5.9,4.8,7.3,3.8,,2368.6,2357.9,,1335.2,1327.0,,1033.3,1031.0,,62.8,62.6,,72.7,72.3,,53.4,53.3,1411.3,508.5,902.7,3769.2,1835.5,1933.7
Dec-2000,,2240.4,2268.2,,1253.4,1269.4,,987.0,998.9,,1639.0,1670.0,,1087.4,1104.7,,551.6,565.3,598.2,164.6,433.6,,59.4,60.1,,68.2,69.1,,51.0,51.6,,135.8,136.2,,82.7,82.8,,53.0,53.5,96.8,64.7,32.1,39.4,18.0,21.4,,5.7,5.7,,6.2,6.1,,5.1,5.1,5.5,5.5,5.4,6.2,9.9,4.7,,2376.2,2404.5,,1336.2,1352.1,,1040.0,1052.3,,63.0,63.7,,72.7,73.6,,53.7,54.4,1368.7,485.2,883.5,3773.1,1837.3,1935.8
Jan-2001,,2242.8,2213.4,,1257.1,1247.9,,985.7,965.5,,1637.5,1636.5,,1084.6,1082.6,,552.9,553.9,576.9,165.3,411.6,,59.3,58.5,,68.3,67.8,,50.8,49.8,,138.8,144.5,,77.7,82.3,,61.1,62.2,107.2,68.5,38.8,37.3,13.8,23.4,,5.8,6.1,,5.8,6.2,,5.8,6.1,6.1,5.9,6.5,6.1,7.7,5.4,,2381.6,2357.9,,1334.8,1330.2,,1046.8,1027.7,,63.0,62.4,,72.5,72.3,,54.0,53.0,1422.6,510.9,911.7,3780.5,1841.1,1939.4
Feb-2001,,2254.6,2249.3,,1264.5,1265.8,,990.1,983.5,,1637.7,1652.3,,1081.8,1092.4,,555.9,559.8,597.0,173.3,423.7,,59.5,59.4,,68.5,68.6,,51.0,50.6,,144.0,160.6,,80.6,86.5,,63.4,74.0,113.6,72.5,41.1,47.0,14.0,33.0,,6.0,6.7,,6.0,6.4,,6.0,7.0,6.4,6.2,6.8,7.3,7.5,7.2,,2398.5,2409.9,,1345.0,1352.3,,1053.5,1057.6,,63.3,63.6,,72.9,73.3,,54.2,54.4,1377.9,492.5,885.4,3787.8,1844.8,1943.0
Mar-2001,,2243.9,2253.3,,1247.6,1252.6,,996.3,1000.6,,1635.6,1635.7,,1079.3,1077.7,,556.4,558.0,617.6,174.9,442.6,,59.1,59.4,,67.5,67.8,,51.2,51.4,,146.4,152.8,,81.5,82.8,,64.9,69.9,100.2,64.3,35.8,52.6,18.5,34.1,,6.1,6.3,,6.1,6.2,,6.1,6.5,5.8,5.6,6.0,7.8,9.6,7.2,,2390.3,2406.0,,1329.1,1335.5,,1061.2,1070.6,,63.0,63.4,,71.9,72.2,,54.5,55.0,1389.1,513.0,876.1,3795.1,1848.5,1946.6
Apr-2001,,2255.9,2258.3,,1261.8,1264.1,,994.0,994.2,,1641.5,1638.1,,1088.8,1087.0,,552.7,551.1,620.2,177.1,443.2,,59.4,59.5,,68.2,68.3,,51.0,51.0,,150.8,152.7,,85.4,87.0,,65.4,65.7,106.3,66.2,40.1,46.4,20.8,25.7,,6.3,6.3,,6.3,6.4,,6.2,6.2,6.1,5.7,6.8,7.0,10.5,5.5,,2406.7,2411.0,,1347.2,1351.1,,1059.4,1060.0,,63.4,63.5,,72.8,73.0,,54.4,54.4,1387.3,498.9,888.4,3798.3,1850.0,1948.3
May-2001,,2261.5,2262.4,,1263.5,1264.0,,998.0,998.4,,1645.3,1636.6,,1085.8,1085.7,,559.5,550.9,625.8,178.3,447.6,,59.5,59.5,,68.2,68.3,,51.2,51.2,,155.1,155.5,,81.1,81.5,,73.9,73.9,106.3,60.3,46.1,49.1,21.3,27.9,,6.4,6.4,,6.0,6.1,,6.9,6.9,6.1,5.3,7.7,7.3,10.7,5.9,,2416.6,2417.9,,1344.7,1345.5,,1071.9,1072.4,,63.6,63.6,,72.6,72.7,,55.0,55.0,1383.6,506.0,877.7,3801.5,1851.5,1950.0
Jun-2001,,2260.1,2263.7,,1262.7,1263.6,,997.4,1000.1,,1631.1,1616.4,,1080.1,1075.3,,550.9,541.1,647.3,188.3,459.0,,59.4,59.5,,68.1,68.2,,51.1,51.2,,152.6,146.2,,81.6,78.9,,71.0,67.3,105.3,63.9,41.4,40.9,15.0,25.9,,6.3,6.1,,6.1,5.9,,6.6,6.3,6.1,5.6,7.1,5.9,7.4,5.3,,2412.7,2409.9,,1344.3,1342.5,,1068.4,1067.4,,63.4,63.3,,72.6,72.5,,54.7,54.7,1394.8,510.5,884.3,3804.7,1852.9,1951.8
